Unit level,Unit name,Eligible,Outcome,Mothers only,Mothers only %,Mixed feed ,Mixed feed %,Other feed ,Other feed %,Missing ,Missing % ,Any milk ,Any milk % 
1,Airedale General Hospital,20,20,1,5,12,60,7,35,0,0,13,65
1,Bassetlaw District General Hospital,9,9,5,55.6,1,11.1,3,33.3,0,0,6,66.7
1,Bedford Hospital,24,24,9,37.5,14,58.3,1,4.2,0,0,23,95.8
1,"Borders General Hospital, Melrose",5,5,1,20,3,60,1,20,0,0,4,80
1,Conquest Hospital,22,22,4,18.2,14,63.6,4,18.2,0,0,18,81.8
1,Cumberland Infirmary,13,13,2,15.4,0,0,11,84.6,0,0,2,15.4
1,Darent Valley Hospital,56,56,15,26.8,31,55.4,10,17.9,0,0,46,82.1
1,Darlington Memorial Hospital,16,16,4,25,7,43.8,5,31.3,0,0,11,68.8
1,Dorset County Hospital,,,,,,,,,,,,
1,Dumfries & Galloway Royal Infirmary,16,16,2,12.5,11,68.8,3,18.8,0,0,13,81.3
1,Epsom General Hospital,,,,,,,,,,,,
1,Furness General Hospital,4,4,0,0,3,75,1,25,0,0,3,75
1,George Eliot Hospital,12,12,0,0,8,66.7,4,33.3,0,0,8,66.7
1,Glangwili General Hospital,12,12,3,25,6,50,3,25,0,0,9,75
1,Good Hope Hospital,25,25,5,20,17,68,3,12,0,0,22,88
1,Harrogate District Hospital,11,11,1,9.1,9,81.8,1,9.1,0,0,10,90.9
1,Hereford County Hospital,12,12,0,0,10,83.3,2,16.7,0,0,10,83.3
1,Hinchingbrooke Hospital,17,17,4,23.5,10,58.8,3,17.6,0,0,14,82.4
1,James Paget Hospital,27,27,3,11.1,16,59.3,8,29.6,0,0,19,70.4
1,North Devon District Hospital,,,,,,,,,,,,
1,Northumbria Specialist Emergency Care Hospital,22,22,7,31.8,7,31.8,8,36.4,0,0,14,63.6
1,Pilgrim General Hospital,6,6,4,66.7,1,16.7,1,16.7,0,0,5,83.3
1,"Princess of Wales Hospital, Bridgend",22,22,1,4.5,12,54.5,9,40.9,0,0,13,59.1
1,"Princess Royal Hospital, Haywards Heath",,,,,,,,,,,,
1,"Queen Elizabeth Hospital, Gateshead",9,9,1,11.1,4,44.4,4,44.4,0,0,5,55.6
1,Queen Elizabeth The Queen Mother Hospital,15,15,2,13.3,7,46.7,6,40,0,0,9,60
1,"Queen's Hospital, Burton on Trent",17,17,1,5.9,9,52.9,7,41.2,0,0,10,58.8
1,Royal Free Hospital,,,,,,,,,,,,
1,Royal Surrey County Hospital,,,,,,,,,,,,
1,Scarborough General Hospital,13,13,2,15.4,10,76.9,1,7.7,0,0,12,92.3
1,"St John's Hospital, Livingston",13,13,3,23.1,6,46.2,4,30.8,0,0,9,69.2
1,"St Mary's Hospital, Isle of Wight",,,,,,,,,,,,
1,Torbay Hospital,,,,,,,,,,,,
1,University Hospital of North Durham,19,19,1,5.3,8,42.1,10,52.6,0,0,9,47.4
1,University Hospital of North Tees,21,21,3,14.3,11,52.4,7,33.3,0,0,14,66.7
1,Warwick Hospital,12,12,0,0,10,83.3,2,16.7,0,0,10,83.3
1,West Cumberland Hospital,4,4,0,0,3,75,1,25,0,0,3,75
1,West Middlesex University Hospital,,,,,,,,,,,,
1,West Suffolk Hospital,21,21,2,9.5,14,66.7,5,23.8,0,0,16,76.2
1,Worthing Hospital,21,21,1,4.8,14,66.7,6,28.6,0,0,15,71.4
1,Wrexham Maelor Hospital,25,25,5,20,14,56,6,24,0,0,19,76
1,Yeovil District Hospital,14,14,1,7.1,11,78.6,2,14.3,0,0,12,85.7
1,Ysbyty Gwynedd,12,11,5,45.5,3,27.3,3,27.3,1,8.3,8,72.7
2,"Ayrshire Maternity Unit, Crosshouse",56,56,16,28.6,23,41.1,17,30.4,0,0,39,69.6
2,Barnet Hospital,112,111,17,15.3,76,68.5,18,16.2,1,0.9,93,83.8
2,Barnsley District General Hospital,66,66,19,28.8,34,51.5,13,19.7,0,0,53,80.3
2,Basildon University Hospital,43,43,17,39.5,23,53.5,3,7,0,0,40,93
2,Basingstoke & North Hampshire Hospital,29,29,2,6.9,18,62.1,9,31,0,0,20,69
2,Birmingham City Hospital,73,73,27,37,33,45.2,13,17.8,0,0,60,82.2
2,"Broomfield Hospital, Chelmsford",64,64,23,35.9,29,45.3,12,18.8,0,0,52,81.3
2,Calderdale Royal Hospital,73,73,12,16.4,40,54.8,21,28.8,0,0,52,71.2
2,Chesterfield Royal Hospital,32,32,7,21.9,19,59.4,6,18.8,0,0,26,81.3
2,Colchester General Hospital,31,31,8,25.8,19,61.3,4,12.9,0,0,27,87.1
2,Countess of Chester Hospital,23,23,6,26.1,12,52.2,5,21.7,0,0,18,78.3
2,Croydon University Hospital,51,51,15,29.4,26,51,10,19.6,0,0,41,80.4
2,Diana Princess of Wales Hospital,53,53,19,35.8,19,35.8,15,28.3,0,0,38,71.7
2,Doncaster Royal Infirmary,68,68,12,17.6,38,55.9,18,26.5,0,0,50,73.5
2,East Surrey Hospital,57,57,3,5.3,44,77.2,10,17.5,0,0,47,82.5
2,Forth Valley Royal Hospital,39,39,13,33.3,17,43.6,9,23.1,0,0,30,76.9
2,Frimley Park Hospital,52,52,6,11.5,35,67.3,11,21.2,0,0,41,78.8
2,Glan Clwyd Hospital,81,81,11,13.6,54,66.7,16,19.8,0,0,65,80.2
2,Gloucestershire Royal Hospital,92,92,13,14.1,62,67.4,17,18.5,0,0,75,81.5
2,Great Western Hospital,78,78,24,30.8,44,56.4,10,12.8,0,0,68,87.2
2,Hillingdon Hospital,,,,,,,,,,,,
2,Ipswich Hospital,49,49,14,28.6,26,53.1,9,18.4,0,0,40,81.6
2,Kettering General Hospital,52,52,15,28.8,28,53.8,9,17.3,0,0,43,82.7
2,King's Mill Hospital,55,53,15,28.3,27,50.9,11,20.8,2,3.6,42,79.2
2,Kingston Hospital,45,45,2,4.4,41,91.1,2,4.4,0,0,43,95.6
2,Leighton Hospital,34,34,11,32.4,15,44.1,8,23.5,0,0,26,76.5
2,Lincoln County Hospital,58,57,14,24.6,29,50.9,14,24.6,1,1.7,43,75.4
2,Lister Hospital,82,82,29,35.4,42,51.2,11,13.4,0,0,71,86.6
2,Manor Hospital,47,46,5,10.9,28,60.9,13,28.3,1,2.1,33,71.7
2,Milton Keynes University Hospital,57,57,14,24.6,32,56.1,11,19.3,0,0,46,80.7
2,Musgrove Park Hospital,59,59,10,16.9,37,62.7,12,20.3,0,0,47,79.7
2,Newham University Hospital,74,73,12,16.4,43,58.9,18,24.7,1,1.4,55,75.3
2,Noble's Hospital,3,3,0,0,2,66.7,1,33.3,0,0,2,66.7
2,North Manchester General Hospital,31,31,10,32.3,11,35.5,10,32.3,0,0,21,67.7
2,North Middlesex University Hospital,51,49,2,4.1,43,87.8,4,8.2,2,3.9,45,91.8
2,Northampton General Hospital,67,67,5,7.5,51,76.1,11,16.4,0,0,56,83.6
2,Northwick Park Hospital ,47,47,9,19.1,33,70.2,5,10.6,0,0,42,89.4
2,Ormskirk District General Hospital,25,25,3,12,10,40,12,48,0,0,13,52
