Unit name ,Unit level ,All shifts,Shifts with data,Missing ,Missing (%) ,Sufficently staffed 
Aberdeen Maternity Hospital,3,730,730,0,0,581 (79.6%)
Airedale General Hospital,1,730,725,5,0.7,592 (81.7%)
Alder Hey Children's Hospital,3,730,724,6,0.8,218 (30.1%)
Arrowe Park Hospital,3,730,664,66,9,459 (69.1%)
"Ayrshire Maternity Unit, Crosshouse",2,730,730,0,0,723 (99%)
Barnet Hospital,2,730,693,37,5.1,247 (35.6%)
Barnsley District General Hospital,2,730,725,5,0.7,505 (69.7%)
Basildon University Hospital,2,730,729,1,0.1,443 (60.8%)
Basingstoke & North Hampshire Hospital,2,730,725,5,0.7,379 (52.3%)
Bassetlaw District General Hospital,1,730,730,0,0,500 (68.5%)
Bedford Hospital,1,614,612,2,0.3,535 (87.4%)
Birmingham City Hospital,2,730,719,11,1.5,567 (78.9%)
Birmingham Heartlands Hospital,3,730,730,0,0,370 (50.7%)
Birmingham Women's Hospital,3,730,685,45,6.2,475 (69.3%)
"Borders General Hospital, Melrose",1,730,541,189,25.9,408 (75.4%)
Bradford Royal Infirmary,3,730,730,0,0,573 (78.5%)
"Broomfield Hospital, Chelmsford",2,730,729,1,0.1,650 (89.2%)
Calderdale Royal Hospital,2,730,730,0,0,545 (74.7%)
Chelsea & Westminster Hospital,3,730,725,5,0.7,107 (14.8%)
Chesterfield Royal Hospital,2,730,730,0,0,590 (80.8%)
Colchester General Hospital,2,730,730,0,0,653 (89.5%)
Conquest Hospital,1,730,730,0,0,652 (89.3%)
Countess of Chester Hospital,2,730,728,2,0.3,725 (99.6%)
Croydon University Hospital,2,730,430,300,41.1,396 (92.1%)
Cumberland Infirmary,1,730,729,1,0.1,598 (82%)
Darent Valley Hospital,1,730,727,3,0.4,694 (95.5%)
Darlington Memorial Hospital,1,730,710,20,2.7,699 (98.5%)
Derriford Hospital,3,730,729,1,0.1,657 (90.1%)
Diana Princess of Wales Hospital,2,730,730,0,0,635 (87%)
Doncaster Royal Infirmary,2,730,730,0,0,526 (72.1%)
Dorset County Hospital,1,730,710,20,2.7,698 (98.3%)
Dumfries & Galloway Royal Infirmary,1,730,715,15,2.1,649 (90.8%)
East Surrey Hospital,2,730,729,1,0.1,582 (79.8%)
Epsom General Hospital,1,730,726,4,0.5,680 (93.7%)
Evelina London Children's Hospital,3,730,282,448,61.4,217 (77%)
Forth Valley Royal Hospital,2,730,675,55,7.5,591 (87.6%)
Frimley Park Hospital,2,730,489,241,33,333 (68.1%)
Furness General Hospital,1,730,729,1,0.1,697 (95.6%)
George Eliot Hospital,1,730,712,18,2.5,675 (94.8%)
Glan Clwyd Hospital,2,730,714,16,2.2,676 (94.7%)
Glangwili General Hospital,1,730,701,29,4,699 (99.7%)
Gloucestershire Royal Hospital,2,730,730,0,0,637 (87.3%)
Good Hope Hospital,1,730,728,2,0.3,354 (48.6%)
Great Western Hospital,2,730,729,1,0.1,468 (64.2%)
Harrogate District Hospital,1,730,724,6,0.8,528 (72.9%)
Hereford County Hospital,1,730,729,1,0.1,616 (84.5%)
Hillingdon Hospital,2,730,730,0,0,630 (86.3%)
Hinchingbrooke Hospital,1,730,650,80,11,626 (96.3%)
Homerton University Hospital,3,730,730,0,0,618 (84.7%)
Hull Royal Infirmary,3,730,730,0,0,641 (87.8%)
Ipswich Hospital,2,730,730,0,0,607 (83.2%)
James Paget Hospital,1,614,604,10,1.6,581 (96.2%)
"Jessop Wing, Sheffield",3,730,729,1,0.1,604 (82.9%)
John Radcliffe Hospital,3,730,730,0,0,558 (76.4%)
Kettering General Hospital,2,669,664,5,0.7,552 (83.1%)
King's College Hospital,3,730,442,288,39.5,190 (43%)
King's Mill Hospital,2,675,657,18,2.7,550 (83.7%)
Kingston Hospital,2,730,730,0,0,465 (63.7%)
"Lancashire Women and Newborn Centre, Burnley General Hospital",3,730,729,1,0.1,321 (44%)
