Unit level ,Unit name ,Eligible,With outcome ,Before admission,After 24 hours,No consultation,Proportion,Missing
1,Airedale General Hospital,171,163,4,16,7,136 (83.4%),8 (4.7%)
1,Bassetlaw District General Hospital,87,87,0,0,0,87 (100%),0 (0%)
1,Bedford Hospital,215,215,0,1,1,213 (99.1%),0 (0%)
1,"Borders General Hospital, Melrose",59,59,0,0,0,59 (100%),0 (0%)
1,Conquest Hospital,213,212,5,4,0,203 (95.8%),1 (.5%)
1,Cumberland Infirmary,115,93,4,2,6,81 (87.1%),22 (19.1%)
1,Darent Valley Hospital,396,384,10,10,0,364 (94.8%),12 (3%)
1,Darlington Memorial Hospital,117,117,0,6,0,111 (94.9%),0 (0%)
1,Dorset County Hospital,112,112,0,2,0,110 (98.2%),0 (0%)
1,Dumfries & Galloway Royal Infirmary,98,82,4,4,0,74 (90.2%),16 (16.3%)
1,Epsom General Hospital,91,91,0,1,0,90 (98.9%),0 (0%)
1,Furness General Hospital,55,51,10,1,0,40 (78.4%),4 (7.3%)
1,George Eliot Hospital,163,162,2,10,1,149 (92%),1 (.6%)
1,Glangwili General Hospital,216,216,1,1,7,207 (95.8%),0 (0%)
1,Good Hope Hospital,201,190,2,3,3,182 (95.8%),11 (5.5%)
1,Harrogate District Hospital,79,79,1,0,0,78 (98.7%),0 (0%)
1,Hereford County Hospital,152,151,0,16,6,129 (85.4%),1 (.7%)
1,Hinchingbrooke Hospital,141,130,7,3,1,119 (91.5%),11 (7.8%)
1,James Paget Hospital,175,175,9,3,0,163 (93.1%),0 (0%)
1,Macclesfield District General Hospital,27,26,7,1,0,18 (69.2%),1 (3.7%)
1,North Devon District Hospital,110,110,1,7,0,102 (92.7%),0 (0%)
1,Northumbria Specialist Emergency Care Hospital,213,213,10,4,1,198 (93%),0 (0%)
1,Pilgrim General Hospital,154,146,5,2,8,131 (89.7%),8 (5.2%)
1,"Princess of Wales Hospital, Bridgend",223,205,35,3,2,165 (80.5%),18 (8.1%)
1,"Princess Royal Hospital, Haywards Heath",171,169,0,0,0,169 (100%),2 (1.2%)
1,"Queen Elizabeth Hospital, Gateshead",133,127,3,6,0,118 (92.9%),6 (4.5%)
1,Queen Elizabeth The Queen Mother Hospital,205,205,0,1,0,204 (99.5%),0 (0%)
1,"Queen's Hospital, Burton on Trent",185,182,1,10,3,168 (92.3%),3 (1.6%)
1,Royal Free Hospital,220,218,1,1,0,216 (99.1%),2 (.9%)
1,Royal Surrey County Hospital,175,175,3,0,1,171 (97.7%),0 (0%)
1,Scarborough General Hospital,129,117,9,3,2,103 (88%),12 (9.3%)
1,"St John's Hospital, Livingston",147,119,27,0,0,92 (77.3%),28 (19%)
