Level,Unit name ,Eligible ,cPVL Outcome,cPVL Alive,cPVL Died,Proportion,Missing
0,OTHER,123,101,3,1,23 (22.8%),22 (17.9%)
1,Airedale General Hospital,7,7,0,0,0 (0%),0 (0%)
1,Bassetlaw District General Hospital,,,,,,
1,Bedford Hospital,18,17,0,0,0 (0%),1 (5.6%)
1,"Borders General Hospital, Melrose",,,,,,
1,Conquest Hospital,23,20,0,0,1 (5%),3 (13%)
1,Cumberland Infirmary,8,4,0,0,1 (25%),4 (50%)
1,Darent Valley Hospital,36,33,1,0,4 (12.1%),3 (8.3%)
1,Darlington Memorial Hospital,5,3,0,0,0 (0%),2 (40%)
1,Dorset County Hospital,9,9,0,0,0 (0%),0 (0%)
1,Dumfries & Galloway Royal Infirmary,,,,,,
1,Epsom General Hospital,5,4,0,0,0 (0%),1 (20%)
1,Furness General Hospital,7,5,0,0,0 (0%),2 (28.6%)
1,George Eliot Hospital,9,9,0,0,0 (0%),0 (0%)
1,Glangwili General Hospital,8,8,0,0,0 (0%),0 (0%)
1,Good Hope Hospital,3,3,0,0,0 (0%),0 (0%)
1,Harrogate District Hospital,,,,,,
1,Hereford County Hospital,12,12,1,0,1 (8.3%),0 (0%)
1,Hinchingbrooke Hospital,,,,,,
1,James Paget Hospital,18,14,0,0,0 (0%),4 (22.2%)
1,North Devon District Hospital,9,6,0,0,0 (0%),3 (33.3%)
1,Northumbria Specialist Emergency Care Hospital,14,10,0,0,0 (0%),4 (28.6%)
1,Pilgrim General Hospital,7,7,0,0,0 (0%),0 (0%)
1,"Princess Royal Hospital, Haywards Heath",8,7,0,0,1 (14.3%),1 (12.5%)
1,"Princess of Wales Hospital, Bridgend",13,12,0,0,0 (0%),1 (7.7%)
1,"Queen Elizabeth Hospital, Gateshead",9,7,0,0,0 (0%),2 (22.2%)
1,Queen Elizabeth The Queen Mother Hospital,9,9,0,0,0 (0%),0 (0%)
1,"Queen's Hospital, Burton on Trent",21,10,1,0,2 (20%),11 (52.4%)
1,Royal Free Hospital,4,4,0,0,1 (25%),0 (0%)
1,Royal Surrey County Hospital,6,6,0,0,0 (0%),0 (0%)
1,Scarborough General Hospital,10,7,0,0,0 (0%),3 (30%)
1,"St John's Hospital, Livingston",5,5,0,0,0 (0%),0 (0%)
1,"St Mary's Hospital, Isle of Wight",,,,,,
1,Torbay Hospital,8,8,0,0,0 (0%),0 (0%)
1,University Hospital of North Durham,14,8,0,1,3 (37.5%),6 (42.9%)
1,University Hospital of North Tees,13,10,1,0,1 (10%),3 (23.1%)
1,Warwick Hospital,5,5,0,0,0 (0%),0 (0%)
1,West Cumberland Hospital,3,3,0,0,0 (0%),0 (0%)
1,West Middlesex University Hospital,29,15,0,0,0 (0%),14 (48.3%)
1,West Suffolk Hospital,,,,,,
1,Worthing Hospital,11,11,0,0,1 (9.1%),0 (0%)
1,Wrexham Maelor Hospital,7,5,0,0,0 (0%),2 (28.6%)
1,Yeovil District Hospital,7,4,0,0,0 (0%),3 (42.9%)
1,Ysbyty Gwynedd,8,8,1,0,1 (12.5%),0 (0%)
2,"Ayrshire Maternity Unit, Crosshouse",37,37,1,0,1 (2.7%),0 (0%)
2,Barnet Hospital,46,42,1,0,2 (4.8%),4 (8.7%)
2,Barnsley District General Hospital,35,29,1,0,2 (6.9%),6 (17.1%)
2,Basildon University Hospital,35,32,0,0,1 (3.1%),3 (8.6%)
2,Basingstoke & North Hampshire Hospital,20,13,1,0,1 (7.7%),7 (35%)
2,Birmingham City Hospital,52,52,0,0,7 (13.5%),0 (0%)
2,"Broomfield Hospital, Chelmsford",35,20,1,0,2 (10%),15 (42.9%)
2,Calderdale Royal Hospital,44,41,2,0,5 (12.2%),3 (6.8%)
2,Chesterfield Royal Hospital,17,17,2,1,3 (17.6%),0 (0%)
2,Colchester General Hospital,25,24,0,0,0 (0%),1 (4%)
2,Countess of Chester Hospital,8,8,2,0,3 (37.5%),0 (0%)
2,Croydon University Hospital,46,10,1,0,1 (10%),36 (78.3%)
2,Diana Princess of Wales Hospital,32,29,1,0,2 (6.9%),3 (9.4%)
2,Doncaster Royal Infirmary,51,50,0,0,2 (4%),1 (2%)
2,East Surrey Hospital,44,43,0,0,4 (9.3%),1 (2.3%)
2,Forth Valley Royal Hospital,29,29,0,0,1 (3.4%),0 (0%)
2,Frimley Park Hospital,32,14,1,0,5 (35.7%),18 (56.3%)
2,Glan Clwyd Hospital,57,57,0,0,3 (5.3%),0 (0%)
2,Gloucestershire Royal Hospital,53,6,0,0,1 (16.7%),47 (88.7%)
2,Great Western Hospital,39,38,2,0,3 (7.9%),1 (2.6%)
2,Hillingdon Hospital,37,37,1,0,3 (8.1%),0 (0%)
2,Ipswich Hospital,27,26,1,0,2 (7.7%),1 (3.7%)
2,Kettering General Hospital,42,34,0,0,3 (8.8%),8 (19%)
2,King's Mill Hospital,37,12,1,0,2 (16.7%),25 (67.6%)
2,Kingston Hospital,30,24,1,0,1 (4.2%),6 (20%)
2,Leighton Hospital,23,22,0,0,2 (9.1%),1 (4.3%)
2,Lincoln County Hospital,36,34,0,0,3 (8.8%),2 (5.6%)
2,Lister Hospital,32,30,0,0,0 (0%),2 (6.3%)
2,Manor Hospital,31,25,0,0,2 (8%),6 (19.4%)
2,Milton Keynes University Hospital,25,21,1,0,2 (9.5%),4 (16%)
2,Musgrove Park Hospital,24,24,1,0,1 (4.2%),0 (0%)
2,Newham University Hospital,52,10,0,0,0 (0%),42 (80.8%)
2,Noble's Hospital,1,1,0,0,0 (0%),0 (0%)
2,North Manchester General Hospital,21,13,1,0,2 (15.4%),8 (38.1%)
2,North Middlesex University Hospital,26,10,1,0,1 (10%),16 (61.5%)
2,Northampton General Hospital,24,24,0,0,1 (4.2%),0 (0%)
2,Northwick Park Hospital ,32,31,0,0,0 (0%),1 (3.1%)
2,Ormskirk District General Hospital,17,12,0,0,0 (0%),5 (29.4%)
2,Peterborough City Hospital,43,14,0,0,0 (0%),29 (67.4%)
2,Pinderfields General Infirmary (Pontefract),56,46,1,0,3 (6.5%),10 (17.9%)
2,Poole General Hospital,31,30,2,0,2 (6.7%),1 (3.2%)
2,Prince Charles Hospital,7,6,0,0,1 (16.7%),1 (14.3%)
2,Princess Alexandra Hospital,32,27,0,0,0 (0%),5 (15.6%)
2,"Princess Royal Hospital, Telford",29,28,0,0,2 (7.1%),1 (3.4%)
2,"Princess Royal University Hospital, Farnborough",18,14,0,0,1 (7.1%),4 (22.2%)
2,"Queen Elizabeth Hospital, King's Lynn",18,18,1,0,2 (11.1%),0 (0%)
2,"Queen Elizabeth Hospital, Woolwich ",24,12,0,0,1 (8.3%),12 (50%)
2,"Queen's Hospital, Romford",64,29,0,0,1 (3.4%),35 (54.7%)
2,"Raigmore Hospital, Inverness",13,13,0,0,1 (7.7%),0 (0%)
2,Rotherham District General Hospital,27,26,0,0,0 (0%),1 (3.7%)
2,Royal Albert Edward Infirmary,23,23,0,0,1 (4.3%),0 (0%)
2,"Royal Alexandra Hospital, Paisley",15,14,0,0,2 (14.3%),1 (6.7%)
2,Royal Berkshire Hospital,26,23,3,1,5 (21.7%),3 (11.5%)
2,Royal Cornwall Hospital,20,20,1,0,1 (5%),0 (0%)
2,Royal Derby Hospital,77,60,1,1,7 (11.7%),17 (22.1%)
2,Royal Devon & Exeter Hospital,33,33,0,0,1 (3%),0 (0%)
2,Royal Hampshire County Hospital,12,12,0,0,0 (0%),0 (0%)
2,Royal Lancaster Infirmary,12,12,0,0,0 (0%),0 (0%)
2,Royal United Hospital,31,31,1,0,1 (3.2%),0 (0%)
2,Russell's Hall Hospital,40,38,2,0,5 (13.2%),2 (5%)
2,Salisbury District Hospital,9,6,0,0,0 (0%),3 (33.3%)
2,Scunthorpe General Hospital,29,23,0,0,2 (8.7%),6 (20.7%)
2,Southend Hospital,19,10,0,0,0 (0%),9 (47.4%)
2,St Helier Hospital,16,16,1,0,1 (6.3%),0 (0%)
2,"St Mary's Hospital, London",57,57,1,0,2 (3.5%),0 (0%)
2,St Richard's Hospital,,,,,,
2,Stepping Hill Hospital,24,24,1,0,3 (12.5%),0 (0%)
2,Stoke Mandeville Hospital,25,18,0,0,1 (5.6%),7 (28%)
2,Tameside General Hospital,21,20,0,0,2 (10%),1 (4.8%)
2,Tunbridge Wells Hospital,50,50,1,0,2 (4%),0 (0%)
2,University Hospital Lewisham,30,19,0,0,0 (0%),11 (36.7%)
2,"Victoria Hospital, Blackpool",29,28,1,0,2 (7.1%),1 (3.4%)
2,Warrington Hospital,23,23,0,0,0 (0%),0 (0%)
2,Watford General Hospital,40,37,0,0,3 (8.1%),3 (7.5%)
2,Wexham Park Hospital,24,9,0,0,0 (0%),15 (62.5%)
2,Whipps Cross University Hospital,27,6,0,0,0 (0%),21 (77.8%)
